site;coordinates;region;cluster;date;hour;yeild;forecast;error
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;1;-15,000;-14,000;-1,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;2;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;3;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;4;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;5;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;6;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;7;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;8;-13,000;-14,000;1,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;9;26,000;34,000;-8,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;10;84,000;248,000;-164,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;11;86,000;338,000;-252,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;12;221,000;380,000;-159,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;13;779,000;963,000;-184,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;14;768,000;700,000;68,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;15;330,000;452,000;-122,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;16;59,000;95,000;-36,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;17;-12,000;-14,000;2,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;18;-13,000;-14,000;1,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;19;-13,000;-14,000;1,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;20;-12,000;-14,000;2,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;21;-13,000;-14,000;1,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;22;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;23;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/1/22;24;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;1;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;2;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;3;-15,000;-14,000;-1,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;4;-15,000;-14,000;-1,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;5;-15,000;-14,000;-1,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;6;-16,000;-14,000;-2,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;7;-16,000;-14,000;-2,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;8;-12,000;-14,000;2,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;9;214,000;200,000;14,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;10;814,000;847,000;-33,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;11;1781,000;1395,000;386,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;12;1555,000;1711,000;-156,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;13;2055,000;1652,000;403,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;14;1731,000;1434,000;297,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;15;1116,000;989,000;127,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;16;179,000;320,000;-141,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;17;-8,000;0,000;-8,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;18;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;19;-16,000;-14,000;-2,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;20;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;21;-16,000;-14,000;-2,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;22;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;23;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/2/22;24;-14,000;-14,000;0,000
Yelanets-2;(47.707,31.8468);MYKOLAYIV;10;1/3/22;1;-14,000;-14,000;0,000
